EDCS-ID,EDH-ID,type_of_inscription_auto,not_before,not_after,clean_text_interpretive_word,occups,occups_N,occups_cats_list
EDCS-27100317,HD058494,building/dedicatory inscription,117.0,300.0,Municipii Aeli Augusti negotiatores vestiariae et lintiariae aedem cum suis ornamentis sibi et Publio Paternio Caio Antonio Aeliano equiti Romano decurioni municipii Aeli Augusti merito,['negotiator'],1,['Retail']
EDCS-27100333,HD058555,honorific inscription,171.0,300.0,Iulio Victori negotiatori quondam vestiario ex testamento eius Iulius Clemens aquilifer legionis III Italicae frater eius faciendum curavit locus datus decreto decurionum,['negotiator' 'vestiarius'],2,"['Retail', 'Retail']"
EDCS-27200188,HD058565,epitaph,171.0,300.0,Perpetuae memoriae et securitati Tiberius Claudius Euphras IIIIII vir Augustalis negotiator artis purpurariae qui vixit annos LXXVI Seniliae Lascivae coniugi et Claudis Fortunensi et Epigono et Apro filiis vivos vivis fecit,['negotiator artis purpurariae'],1,['Retail']
EDCS-27200194,HD058601,epitaph,171.0,300.0,Memoriae et perpetuae securitati Flabio Acutianio Sereno negotiatori qui vixsit annis XXXV et mensibus VIII diebus VI hoc faciendum curavit Acutianius Ursacius pientissimo fratri et bene merenti fecit,['negotiator'],1,['Retail']
EDCS-27200197,HD058604,epitaph,171.0,300.0,Dis Manibus et perpetuae securitati Victorio Victoriano negotiatori artis cretariae et flaturariae Si ca mater filio vixit annos faciendum curavit,['negotiator' 'cretaria'],2,"['Retail', 'Retail']"
EDCS-37600014,HD063792,epitaph,171.0,300.0,lanio Victorino vivis et Iuliae Providentiae carissimae quondam et dulcissimae mulieri vixit annos XXX dies XX et Au annorum,['lanius'],1,['Food-Production']
EDCS-31001577,HD058010,building/dedicatory inscription,101.0,300.0,Iunianus Pastor negotiatores municipii aedem restituerunt,['negotiator'],1,['Retail']
EDCS-73200092,HD072500,epitaph,171.0,250.0,Tiberio Claudio quondam Victori veterano ex numero equitum singularium negotiatori artis vestiariae r vixit annos LXX Iulia Iulia uxor coniugi pientissimo faciendum curavit cum libertis,['negotiator artis vestiariae'],1,['Retail']
