city,N inscriptions,N occupations,N occ. in largest sector,N sectors,DIw
Mursa,109,6,1,6,3.35
Ateste,128,6,1,6,3.35
Siscia,116,5,1,5,3.11
Noviomagus (Germania Inferior),103,5,1,5,3.11
Carnuntum (2),353,8,2,7,3.08
Norba,106,12,2,8,2.9
Mantua,27,2,1,2,2.89
Augusta Auscorum,73,2,1,2,2.89
Heba,14,2,1,2,2.89
Laumellum,14,2,1,2,2.89
