,term,count
0,collegium,1152
1,corpus,388
2,collega,111
3,colegium,51
4,collegius,25
5,sodalicium,17
6,corporatus,16
7,collegiatus,14
8,conlegium,13
9,societas,12
10,concilium,12
11,collegiarius,1
