EDCS-ID,EDH-ID,type_of_inscription_auto,not_before,not_after,clean_text_interpretive_word,occups,occups_N,occups_cats_list
EDCS-05801634,,,172.0,172.0,Quinto Hortensio Quinti filio Collina Faustino advocato fisci praefecto fabrum patrono municipii collegium fabrum Tiburtium ob merita loco dato senatus consulto Curantibus Marco Helvio Exspectato et Caio Alliano Tiburtino Curantibus Caio Alliano Tiburtino et Marco Helvio Exspectato dedicata III Idus Maias Maximo et Orfito consulibus,['faber' 'faber'],2,"['Unclassified', 'Unclassified']"
EDCS-05801636,,epitaph,-50.0,-1.0,Publius Septmius Publi filius Collina scriba quaestorius de sexprimis Publius Aquilius Gallus Fannia uxor,['scriba'],1,['Education']
EDCS-05801640,,,101.0,200.0,Caio Aemilio Cai filio Fabia Antonino equiti Romano quinquennali patrono municipii omnibus honoribus honeste perfuncto curatori fani Herculis Victoris pontifici,['curator'],1,['Managerial']
EDCS-05801653,,honorific inscription,184.0,184.0,Marco Lurio Marci filio Palatina Lucretiano patrono municipii Tiburtes municipes aere collato quod honore sibi quinquennalitatis oblato XX paria gladiatorum et venationem sua pecunia ediderit locus datus senatus consulto Dedicata VIIII Kalendas Augustas Lucio Eggio Marullo Cnaeo Papirio Aeliano consulibus,['gladiator'],1,['Performing Arts']
EDCS-05801663,,,81.0,200.0,Tito Sabidio Titi filio Palatina Maximo scribae quaestorio sexprimo bis praefecto fabrum pontifici salio curatori fani Herculis Victoris tribuno aquarum quinquennali patrono municipii locus sepulturae datus voluntate populi decreto senatus Tiburtium,['curator' 'scriba' 'faber'],3,"['Managerial', 'Education', 'Unclassified']"
EDCS-05801664,,,101.0,150.0,Tito Sabidio Phoebo Herculaneo Augustali curatori quaestori patri optimo,['curator'],1,['Managerial']
EDCS-05801668,,,127.0,127.0,Caius Sextilius virginis Vestalis Tiburtium libertus Ephebus Herculanius Augustalis curator Quod Lucius Alfenatius Priscus et Marcus Mucius Tiburtinus IIII viri IIII Kalendas Septembres in basilica Liapta aditu dato Sextilio Ephebo cognita petitione eius qua continebatur uti permitteretur ei basim marmoream sua impensa omni sub thnsauro Herculis et Augusti porta Esquilina ponere sicut de ea re auctoritas perscripta quid de ea re fieri placeret de ea re ita censuerunt cum Caius Sextilius Saufeiae virginis Vestalis libertus Ephebus non hodie primum munificus erga rem publicam exornaturus st eam posita base marmorea sub thesauro Herculis et Augusti porta Esquilina agere grates Sextilio Ephebo permitti que it titulo quo que nomine suo inscripto significari adiecto in inscriptione lateris senatus nostri consulto quo facilius ceteri quo que exemplum eius sequi velint censuerunt Squilla et Titiano consulibus scribendo adfuerunt Attius F fu,['curator'],1,['Managerial']
EDCS-05801710,,epitaph,51.0,100.0,Dis Manibus Valeriae Chrysidi Marcus Nummius Proculus siricarius coniugi suae optimae bene merenti fecit,['siricarius'],1,['Clothing']
EDCS-05802217,,votive inscription,101.0,150.0,Marcus Caerellius Iazemis quinquennalis pistorum III et perpetuus codicarius item mercator frumentarius Invicto Herculi ex voto donum dedit,['frumentarius' 'codicarius' 'mercator' 'pistor'],4,"['Retail', 'Transport', 'Retail', 'Food-Production']"
EDCS-05802222,,honorific inscription,151.0,175.0,Herenniae Marci filiae Helvidiae Aemilianae Luci Claudi Proculi Corneliani consulis reginae suae honoris causa posuit Tiberius Claudius Tiberi filius Quirina Liberalis Aebutianus equo publico praefectus fabrum tribunus militum legionis III Cyrenaicae decurialis Caesarum consulum praetorum cum Claudia Nectarea uxore,['faber'],1,['Unclassified']
EDCS-05802225,,honorific inscription,101.0,125.0,Publio Manilio Publi filio Galeria Vopisco Vicinilliano Lucio Elufrio Severo Iulio Quadrato Basso consuli pontifici flamini praetori quaestori divi Traiani Parthici tribuno militum legionis IIII Scythicae III viro auro argento aere flando feriundo salio Collino curatori fani Herculis Victoris Numerius Prosius Platanus cum Manilia Eutychia uxore et Vibia Vicinilla et Manilis Vopiscano et Attico liberis suis,['curator'],1,['Managerial']
EDCS-05802227,,honorific inscription,151.0,200.0,Publio Mummio Publi filio Galeria Sisennae Rutiliano consuli auguri proconsuli provinciae Asiae legato Augusti pro praetore Moesiae superioris praefecto alimentorum per Aemiliam praefecto aerarii Saturni legato legionis VI Victricis praetori tribuno plebis quaestori tribuno legionis V Macedonicae X viro stlitibus iudicandis patrono municipii curatori fani Herculis Victoris salio senatus populus que Tiburs,['aerarius' 'curator'],2,"['Metal-Working', 'Managerial']"
EDCS-05802231,,,101.0,200.0,VII viro epulonum legato pro praetore Ponti et Bithyniae curatori coloniae patrono municipii quinquennali designato,['curator'],1,['Managerial']
EDCS-05802235,,honorific inscription,201.0,250.0,Aemilio Auli filio Galeria Victorino procuratori Augusti ad accipiends census in provincia Gallia Lugudunensi et in provincia Thracia equestribus militiis functo equo publico Caius Vivius Iulianus scriba quaestorius amico optimo locus datus decreto decurionum,['scriba'],1,['Education']
EDCS-05802241,,honorific inscription,101.0,200.0,Ampliato Herculaneo Augustali curatori quaestori Augustali honore publice accepta impensam remisit,['curator'],1,['Managerial']
EDCS-05802244,,,141.0,170.0,Marco Tullio Marci filio Camilia Blaeso pontifici curatori fani Herculis Victoris salio Tullia Berenice uxor et Tullia Blaesilla filia locus datus senatus consulto patrono municipii,['curator'],1,['Managerial']
